id,route_id,latitude,longitude,speed,timestamp
1013,905,43.868316650390625,-78.92855072021484,,1742697036
6103,410,43.893333435058594,-78.83910369873047,,1742697064
6104,905,43.8894157409668,-78.9139175415039,,1742697045
6106,902,43.90068435668945,-78.85465240478516,,1742697059
6109,900,43.893882751464844,-78.88423156738281,,1742697013
6119,409,43.908016204833984,-78.91118621826172,,1742697050
6120,915,43.899051666259766,-79.02622985839844,,1742697028
6143,917,43.872501373291016,-78.9039306640625,,1742697056
6144,915,43.93724822998047,-78.85941314697266,,1742697037
6145,410,43.9223518371582,-78.84016418457031,,1742697025
6146,302,43.964332580566406,-78.94646453857422,,1742697012
6149,901,43.963134765625,-78.90416717529297,,1742697053
6153,916,43.90861511230469,-78.9012680053711,,1742697045
6156,905,44.1036491394043,-79.08721923828125,,1742697016
7100,902,43.87089920043945,-78.8855972290039,,1742697048
7102,405,43.89875030517578,-78.88670349121094,,1742697020
7117,915,43.95636749267578,-78.85681915283203,,1742697043
7119,917,43.846351623535156,-79.0389175415039,,1742696948
7120,917,43.83208465576172,-79.07225036621094,,1742697056
8501,915,43.93843460083008,-78.85482025146484,,1742697028
8505,905,43.92698287963867,-78.90583038330078,,1742697045
8507,405,43.947933197021484,-78.86396789550781,,1742697062
8512,916,43.88983154296875,-78.98353576660156,,1742697030
8531,302,43.86516571044922,-78.9374008178711,,1742697063
8541,917,43.86986541748047,-78.91732025146484,,1742697059
8551,901,43.8932991027832,-78.8638687133789,,1742697018
8556,902,43.910465240478516,-78.68080139160156,,1742697043
8573,901,43.883934020996094,-78.85731506347656,,1742697057
8579,900,43.864166259765625,-79.01261901855469,,1742696935
8585,407,43.87553405761719,-78.84223175048828,,1742697029
8602,917,43.83811569213867,-79.04509735107422,,1742697054
8606,902,43.90224838256836,-78.8434829711914,,1742697036
8623,900,43.788734436035156,-79.17933654785156,,1742697007
8624,900,43.84519958496094,-79.07823181152344,,1742697040
8626,224,43.85081481933594,-79.02488708496094,,1742697023
